Date,Close
10/2/2012 16:00:00,3.73
10/3/2012 16:00:00,3.76
10/4/2012 16:00:00,3.84
10/5/2012 16:00:00,3.78
10/8/2012 16:00:00,3.82
10/9/2012 16:00:00,3.74
10/10/2012 16:00:00,3.75
10/11/2012 16:00:00,3.75
10/12/2012 16:00:00,3.7
10/15/2012 16:00:00,3.71
10/16/2012 16:00:00,3.73
10/17/2012 16:00:00,3.8
10/18/2012 16:00:00,3.68
10/19/2012 16:00:00,3.52
10/22/2012 16:00:00,3.38
10/23/2012 16:00:00,3.22
10/24/2012 16:00:00,3.44
10/25/2012 16:00:00,3.55
10/26/2012 16:00:00,3.55
10/31/2012 16:00:00,3.63
11/1/2012 16:00:00,3.63
11/2/2012 16:00:00,3.44
11/5/2012 16:00:00,3.27
11/6/2012 16:00:00,3.5
11/7/2012 16:00:00,3.42
11/8/2012 16:00:00,3.22
11/9/2012 16:00:00,3.12
11/12/2012 16:00:00,3.22
11/13/2012 16:00:00,3.16
11/14/2012 16:00:00,3
11/15/2012 16:00:00,3.03
11/16/2012 16:00:00,2.9
11/19/2012 16:00:00,2.89
11/20/2012 16:00:00,3.05
11/21/2012 16:00:00,3
11/23/2012 16:00:00,3.08
11/26/2012 16:00:00,2.99
11/27/2012 16:00:00,2.97
11/28/2012 16:00:00,3.15
11/29/2012 16:00:00,3.13
11/30/2012 16:00:00,3.13
12/3/2012 16:00:00,3.07
12/4/2012 16:00:00,3.09
12/5/2012 16:00:00,3.13
12/6/2012 16:00:00,3.12
12/7/2012 16:00:00,3.18
12/10/2012 16:00:00,3.4
12/11/2012 16:00:00,3.41
12/12/2012 16:00:00,3.36
12/13/2012 16:00:00,3.28
12/14/2012 16:00:00,3.31
12/17/2012 16:00:00,3.38
12/18/2012 16:00:00,3.45
12/19/2012 16:00:00,3.72
12/20/2012 16:00:00,3.72
12/21/2012 16:00:00,3.64
12/24/2012 16:00:00,3.6
12/26/2012 16:00:00,3.62
12/27/2012 16:00:00,3.7
12/28/2012 16:00:00,3.48
12/31/2012 16:00:00,3.67
1/2/2013 16:00:00,3.78
1/3/2013 16:00:00,3.69
1/4/2013 16:00:00,3.71
1/7/2013 16:00:00,3.63
1/8/2013 16:00:00,3.65
1/9/2013 16:00:00,3.69
1/10/2013 16:00:00,3.71
1/11/2013 16:00:00,3.68
1/14/2013 16:00:00,3.61
1/15/2013 16:00:00,3.68
1/16/2013 16:00:00,3.56
1/17/2013 16:00:00,3.7
1/18/2013 16:00:00,3.69
1/22/2013 16:00:00,3.76
1/23/2013 16:00:00,3.74
1/24/2013 16:00:00,3.77
1/25/2013 16:00:00,3.76
1/28/2013 16:00:00,3.74
1/29/2013 16:00:00,3.75
1/30/2013 16:00:00,3.72
1/31/2013 16:00:00,4.02
2/1/2013 16:00:00,4.01
2/4/2013 16:00:00,3.83
2/5/2013 16:00:00,3.8
2/6/2013 16:00:00,3.89
2/7/2013 16:00:00,3.96
2/8/2013 16:00:00,4
2/11/2013 16:00:00,3.99
2/12/2013 16:00:00,4.08
2/13/2013 16:00:00,4.13
2/14/2013 16:00:00,4.28
2/15/2013 16:00:00,4.21
2/19/2013 16:00:00,4.35
2/20/2013 16:00:00,4.23
2/21/2013 16:00:00,4.25
2/22/2013 16:00:00,4.3
2/25/2013 16:00:00,4.2
2/26/2013 16:00:00,4.3
2/27/2013 16:00:00,4.32
2/28/2013 16:00:00,4.3
3/1/2013 16:00:00,4.51
3/4/2013 16:00:00,4.47
3/5/2013 16:00:00,4.64
3/6/2013 16:00:00,4.71
3/7/2013 16:00:00,4.77
3/8/2013 16:00:00,4.9
3/11/2013 16:00:00,5.1
3/12/2013 16:00:00,5.03
3/13/2013 16:00:00,5.03
3/14/2013 16:00:00,5.06
3/15/2013 16:00:00,5.04
3/18/2013 16:00:00,4.92
3/19/2013 16:00:00,5.03
3/20/2013 16:00:00,5.09
3/21/2013 16:00:00,5.09
3/22/2013 16:00:00,4.97
3/25/2013 16:00:00,5.05
3/26/2013 16:00:00,5.04
3/27/2013 16:00:00,5.05
3/28/2013 16:00:00,4.97
4/1/2013 16:00:00,4.88
4/2/2013 16:00:00,5
4/3/2013 16:00:00,4.96
4/4/2013 16:00:00,5.02
4/5/2013 16:00:00,5
4/8/2013 16:00:00,5.12
4/9/2013 16:00:00,5.07
4/10/2013 16:00:00,5.4
